Number,Level,Vocabulary,Wordclass,Guide
283,4급,기울이다,동사,몸을 기울이다
284,4급,기원02,명사,인류의 기원
285,4급,기적,명사,기적이 일어나다
286,4급,기존,명사,기존 시설
287,4급,기지개,명사,기지개를 켜다
288,4급,기혼,명사,기혼 여성
289,4급,기획,명사,기획 상품
290,4급,기후,명사,기후가 좋다
291,4급,길가,명사,길가에 서다
292,4급,길거리,명사,길거리를 걷다
293,4급,깊이01,명사,강물의 깊이
294,4급,까다롭다,형용사,조건이 까다롭다
295,4급,까닭,명사,까닭을 묻다
296,4급,까먹다,동사,귤을 까먹다
297,4급,깔다,동사,이불을 깔다
298,4급,깔리다,동사,잔디가 깔리다
299,4급,깜깜하다,형용사,방이 깜깜하다
300,4급,깜박하다,동사,등불이 깜박하다
301,4급,깨,명사,깨를 볶다
302,4급,깨다02,동사,그릇을 깨다
303,4급,깨닫다,동사,의미를 깨닫다
304,4급,깨뜨리다,동사,거울을 깨뜨리다
305,4급,깨물다,동사,사탕을 깨물다
306,4급,깨어나다,동사,의식이 깨어나다
307,4급,깨우다,동사,잠을 깨우다
308,4급,꺾다,동사,꽃을 꺾다
309,4급,껴안다,동사,아이를 껴안다
310,4급,꼭01,부사,꼭 누르다
311,4급,꼭대기,명사,꼭대기에 오르다
312,4급,꼼꼼하다,형용사,꼼꼼한 성격
313,4급,꼼꼼히,부사,꼼꼼히 살피다
314,4급,꼽다,동사,날짜를 꼽다
315,4급,꼽히다,동사,다섯 손가락 안에 꼽히다
316,4급,꽂히다,동사,꽃이 꽂히다
317,4급,꽃꽂이,명사,꽃꽂이를 배우다
318,4급,꽃잎,명사,꽃잎이 지다
319,4급,꾸다02,동사,돈을 꾸다
320,4급,꾸리다,동사,이삿짐을 꾸리다
321,4급,꾸미다,동사,외모를 꾸미다
322,4급,꾸준하다,형용사,꾸준한 인기
323,4급,꾸중,명사,꾸중을 듣다
324,4급,꿇다,동사,무릎을 꿇다
325,4급,꿈꾸다,동사,꿈꾸며 자다
326,4급,꿈속,명사,꿈속에서 만나다
327,4급,끄덕이다,동사,고개를 끄덕이다
328,4급,끊임없다,형용사,손님이 끊임없다
329,4급,끊임없이,부사,끊임없이 이어지다
330,4급,끌리다,동사,바지가 끌리다
331,4급,끌어당기다,동사,의자를 끌어당기다
332,4급,끌어안다,동사,아기를 끌어안다
333,4급,끝없다,형용사,욕심이 끝없다
334,4급,끝없이,부사,끝없이 이어지다
335,4급,끼다01,동사,문에 끼다
336,4급,끼어들다,동사,틈으로 끼어들다
337,4급,끼우다,동사,단추를 끼우다
338,4급,끼이다,동사,틈에 끼이다
339,4급,끼치다01,동사,소름이 끼치다
340,4급,끼치다02,동사,걱정을 끼치다
341,4급,나뉘다,동사,두 갈래로 나뉘다
342,4급,나란히,부사,나란히 걷다
343,4급,나름,의존명사,하기 나름
344,4급,나무라다,동사,잘못을 나무라다
345,4급,나뭇가지,명사,나뭇가지를 꺾다
346,4급,나비03,명사,곤충
347,4급,나서다,동사,거리에 나서다
348,4급,나아가다,동사,거리로 나아가다
349,4급,난리,명사,난리를 피하다
350,4급,난처하다,형용사,입장이 난처하다
351,4급,날개,명사,날개를 펴다
352,4급,날리다01,동사,눈발이 날리다
